[kernel.kallsyms] with build id 09b53ce5dfe09c7b1ad9473e1356d7d922512e27 not found, continui
Failed to open /home/a57779/CPD/ESC/ESC_TP5/Tutorial3/src/interchange_large, continuing with
    18.86%            43  interchange_lar  interchange_large  [.] 0x0000000000000846
    16.67%            38  interchange_lar  interchange_large  [.] 0x0000000000000830
     8.33%            19  interchange_lar  interchange_large  [.] 0x0000000000000839
     3.07%             7  interchange_lar  interchange_large  [.] 0x000000000000084f


# Samples: 1  of event 'dTLB-load-misses'
# Event count (approx.): 100000
#
# Overhead       Samples  Command          Shared Object      Symbol                
# ........  ............  ...............  .................  ......................
#
   100.00%             1  interchange_lar  [kernel.kallsyms]  [k] 0xffffffff810585c5


# Samples: 37K of event 'branches'
# Event count (approx.): 3786900000
#
# Overhead       Samples  Command          Shared Object      Symbol                
# ........  ............  ...............  .................  ......................
#
    68.14%         25803  interchange_lar  interchange_large  [.] 0x000000000000084f
    14.46%          5474  interchange_lar  interchange_large  [.] 0x0000000000000846
    13.06%          4945  interchange_lar  interchange_large  [.] 0x0000000000000830
     2.19%           828  interchange_lar  interchange_large  [.] 0x000000000000083d
     1.76%           665  interchange_lar  interchange_large  [.] 0x0000000000000839
     0.11%            41  interchange_lar  interchange_large  [.] 0x0000000000000824


# Samples: 18  of event 'branch-misses'
# Event count (approx.): 1800000
#
# Overhead       Samples  Command          Shared Object      Symbol                
# ........  ............  ...............  .................  ......................
#
    66.67%            12  interchange_lar  interchange_large  [.] 0x000000000000083d
    22.22%             4  interchange_lar  interchange_large  [.] 0x0000000000000846
     5.56%             1  interchange_lar  interchange_large  [.] 0x0000000000000824
     5.56%             1  interchange_lar  interchange_large  [.] 0x0000000000000839
